question_id,document_id,question,answer,section
Q101,JICA_OM_URBAN_RAILWAYS_HB_2023,"What is the definition of asset management in the context of railway operations?","This pertains to the maintenance of the condition of assets at a specified level, consisting of a series of work cycles, such as planning, implementation, evaluation, and improvement.",Asset Management
Q102,JICA_OM_URBAN_RAILWAYS_HB_2023,"What international standard for asset management systems is referenced for railway industry use?","ISO 55000 (ISO55k), the international standard for asset management system, may be applied, as it is used in the railway industry.",Asset Management
Q103,JICA_OM_URBAN_RAILWAYS_HB_2023,"What asset management information system does Metro Trains Melbourne use?","Asset management information systems: ABB Ability Ellipse EAM",Asset Management: Examples from Different Countries

Q104,JICA_OM_URBAN_RAILWAYS_HB_2023,"What is the capital shortfall risk cycle that affects railway operations?","Capital shortfall risk cycle: Service degradation → Decrease in ridership and fare revenue → Lack of funds → Maintenance budget reduction → Service degradation",Basic Profitability Assessment
Q105,JICA_OM_URBAN_RAILWAYS_HB_2023,"What types of KPIs are related to railway O&M?","There is a wide range of KPIs related to O&M, which include those related to operations (e.g., safety, punctuality), customer satisfaction, assets (e.g., rolling stock, station facilities), personnel, and social impact (e.g., environment, corporate social responsibility).",Key Performance Indicators
Q106,JICA_OM_URBAN_RAILWAYS_HB_2023,"What is the difference between net cost scheme and gross cost scheme regarding demand risk?","Net cost scheme: The operating entity shoulders the risk. The operation consignment fee is set in advance as the difference between the estimated fare revenue and O&M costs. The profit is generated as a result of increasing fare revenue while reducing O&M costs.

Gross Cost Scheme: The operating entity does not bear the risk. The operation consignment fee is a fixed amount that is set by adding a reasonable profit amount to the operating entity's estimated O&M costs.",Project Scheme Framework
Q107,JICA_OM_URBAN_RAILWAYS_HB_2023,"What was the actual daily ridership of Jakarta MRT in its opening year compared to the demand forecast?","Rail line patronage in the opening year was about 80,000 passengers a day, which is significantly lower than the demand forecast of 150,000 daily ridership.",Project Schemes: Examples from Different Countries
Q108,JICA_OM_URBAN_RAILWAYS_HB_2023,"What activities are included in station operation services?","These include activities such as ticket selling, security inspections, safety confirmation on platforms, customer information, and lost property handling.",Station Operation Department
Q109,JICA_OM_URBAN_RAILWAYS_HB_2023,"What is the most important rule in station operations regarding passenger transport contracts?","One of the most important rules in station operations is ""Conditions of Carriage,"" which is a transport contract with the passengers.",Station Operation Department
Q110,JICA_OM_URBAN_RAILWAYS_HB_2023,"Why is it important to regularly inspect railway tracks more frequently than civil structures?","Railway structures made of steel and concrete cannot easily be demolished and rebuilt, so timely repairs and reinforcements need to be carried out so that they can maintain their functions. On the other hand, wears, failures, and irregularities on railway tracks directly affect the safety and comfort of passengers; as such, it is very important to regularly inspect the tracks more frequently than civil structures.",Tracks and Infrastructure Department
Q111,JICA_OM_URBAN_RAILWAYS_HB_2023,"What continuous improvement cycle is essential for reliable train operation across all departments?","It is therefore essential to have a system that continuously implements the Plan-Do-Check-Act (PDCA) cycle involving all concerned departments of the operating entity for reliable train operation.",Train Operation Department
Q112,JICA_OM_URBAN_RAILWAYS_HB_2023,"What percentage of fare revenue does fare revenue from passengers account for in Melbourne's Metro Trains operator?","Fare revenue from passengers account for only 24% of the entire revenue of the operator, and the remainder is covered by government subsidies.",Project Schemes: Public Sector Investment/Private Sector Operator Scheme
Q113,JICA_OM_URBAN_RAILWAYS_HB_2023,"What is the contract period for the Manila MRT Line 3 BLT contract?","The contract is a 25-year BLT contract.",Project Schemes: Public Operator Scheme
Q114,JICA_OM_URBAN_RAILWAYS_HB_2023,"What regulatory requirement was issued in Vietnam in 2016 regarding urban railway safety?","Issued in 2016, a ministerial ordinance entitled ""Regulations on Assessment and Certification of Urban Railway System Safety"" requires measures based on risk assessments to be carried out in relation to the railway system and its operation. Furthermore, it requires that the response is appropriately assessed by a certification body.",European Authorization and Certification System
Q115,JICA_OM_URBAN_RAILWAYS_HB_2023,"What is the purpose of a department for cross-departmental integration in railway O&M?","Therefore, it is ideal to have a special department that is responsible for cross-departmental cooperation by establishing goals and rules that integrate the different O&M departments.",Department for Cross-Departmental Integration
